# Format : id;nom;valeur;element
# Elements disponibles : FEU, EAU, TERRE, AIR
1;Bulbizarre;4;TERRE
2;Herbizarre;5;TERRE
3;Florizarre;7;TERRE
4;Salamèche;5;FEU
5;Reptincel;6;FEU
6;Dracaufeu;10;FEU
7;Carapuce;4;EAU
8;Carabaffe;6;EAU
9;Tortank;9;EAU
10;Chenipan;1;AIR
11;Chrysacier;2;AIR
12;Papilusion;6;AIR
13;Aspicot;1;AIR
14;Coconfort;2;AIR
15;Dardargnan;5;AIR
16;Roucool;3;AIR
17;Roucoups;5;AIR
18;Roucarnage;7;AIR
19;Rattata;2;TERRE
20;Rattatac;4;TERRE
21;Piafabec;3;AIR
22;Rapasdepic;5;AIR
23;Abo;3;TERRE
24;Arbok;6;TERRE
25;Pikachu;6;FEU
26;Raichu;8;FEU
27;Sabelette;3;TERRE
28;Sablaireau;5;TERRE
29;Nidoran;3;TERRE
30;Nidorina;5;TERRE
31;Nidoqueen;8;TERRE
32;Nidoran;3;TERRE
33;Nidorino;5;TERRE
34;Nidoking;8;TERRE
35;Melofee;4;AIR
36;Melodelfe;6;AIR
37;Goupix;4;FEU
38;Feunard;7;FEU
39;Rondoudou;3;AIR
40;Grodoudou;5;AIR
41;Nosferapti;3;AIR
42;Nosferalto;6;AIR
43;Mystherbe;4;TERRE
44;Ortide;5;TERRE
45;Rafflesia;8;TERRE
46;Paras;3;TERRE
47;Parasect;6;TERRE
48;Mimitoss;3;AIR
49;Aeromite;6;AIR
50;Taupiqueur;3;TERRE
51;Triopikeur;5;TERRE
52;Miaouss;4;AIR
53;Persian;6;AIR
54;Psykokwak;5;EAU
55;Akwakwak;7;EAU
56;Ferosinge;4;FEU
57;Colossinge;7;FEU
58;Caninos;4;FEU
59;Arcanin;8;FEU
60;Tetarte;3;EAU
61;Tetarte2;5;EAU
62;Tartard;7;EAU
63;Abra;4;AIR
64;Kadabra;6;AIR
65;Alakazam;9;AIR
66;Machoc;4;TERRE
67;Machopeur;6;TERRE
68;Mackogneur;8;TERRE
69;Chetiflor;3;TERRE
70;Boustiflor;5;TERRE
71;Empiflor;7;TERRE
72;Tentacool;4;EAU
73;Tentacruel;7;EAU
74;Racaillou;4;TERRE
75;Gravalanch;6;TERRE
76;Grolem;9;TERRE
77;Ponyta;5;FEU
78;Galopa;7;FEU
79;Ramoloss;3;EAU
80;Flagadoss;5;EAU
81;Magneti;4;FEU
82;Magneton;7;FEU
83;Canarticho;5;AIR
84;Doduo;3;AIR
85;Dodrio;6;AIR
86;Otaria;4;EAU
87;Lamantine;6;EAU
88;Tadmorv;3;EAU
89;Grotadmorv;6;EAU
90;Kokiyas;4;EAU
91;Crustabri;7;EAU
92;Fantominus;4;AIR
93;Spectrum;6;AIR
94;Ectoplasma;9;AIR
95;Onix;7;TERRE
96;Soporifik;5;AIR
97;Hypnomade;7;AIR
98;Krabby;4;EAU
99;Krabboss;6;EAU
100;Voltorbe;4;FEU
101;Electrode;7;FEU
102;Noeunoeuf;4;TERRE
103;Noadkoko;6;TERRE
104;Ossatueur;5;TERRE
105;Ossatueur2;6;TERRE
106;Kicklee;6;TERRE
107;Tygnon;6;TERRE
108;Lipoutou;5;TERRE
109;Smogo;3;AIR
110;Smogogo;6;AIR
111;Rhinocorne;5;TERRE
112;Rhinoferos;8;TERRE
113;Leveinard;6;AIR
114;Saquedeneu;4;TERRE
115;Kangaskhan;7;TERRE
116;Hypotrempe;4;EAU
117;Hypocean;6;EAU
118;Poissirene;4;EAU
119;Poissoroy;7;EAU
120;Stari;3;EAU
121;Staross;6;EAU
122;M.Mime;6;AIR
123;Insecateur;7;AIR
124;Lippoutou;5;AIR
125;Electek;8;FEU
126;Magmar;8;FEU
127;Scarabrute;7;TERRE
128;Tauros;7;TERRE
129;Magicarpe;1;EAU
130;Leviator;10;EAU
131;Lokhlass;8;EAU
132;Metamorph;5;AIR
133;Evoli;4;AIR
134;Aquali;7;EAU
135;Voltali;7;FEU
136;Pyroli;8;FEU
137;Porygon;5;AIR
138;Amonita;4;EAU
139;Amonistar;6;EAU
140;Kabuto;4;EAU
141;Kabutops;7;EAU
142;Ptera;8;AIR
143;Ronflex;9;TERRE
144;Artikodin;9;AIR
145;Electhor;9;FEU
146;Sulfura;9;FEU
147;Minidraco;5;AIR
148;Draco;7;AIR
149;Dracolosse;10;AIR
150;Mewtwo;10;AIR
151;Mew;8;AIR
